Review,Rating
"What can I say, absolutely I am enjoying iOS experience, and battery life amazing, Best Buy, only thing I missing fingerprint scanner. It’s very irritating each time you have to enter the password. Due to covid we all wear the mask. Otherwise best buy",5
"Camera is excellent and pictures are sharp,clear,natural. Slightly overpriced but you won’t regret in long term.",5
"Almost The Beast One as 12 pro
Camera is not as 13 pro but the best camers",5
"This is another awesome product from Apple..

Wonderful Camera quality
Feather touch
Good battery
Superb Night mode Camera

Overall, wonderful phone👍",5
"In one word fantastic…. Beast of a performer..

It good right balance of size and performance
Battery life is major USP of this mobile …

Two major Cons :-
120 htz refresh rate is must have for this price point
Charging Speed is bit slow but that could be managed by great battery life",5
 Good experience,5
Fantastic red .. just unboxed it so cannot say about anything else . Loved it . Thank you amazon,5
Go on without any hesitation👍,5
"I thought upgrading from 11 to 13 would be a hassle. I could transfer all my data from 11 to 13 very easily, Never even had to connect to a pc or download an app.",5
 This looks professional colour and perfect👍. Nice product.,5
You don’t need to write anything when it comes to iPhone because iPhone just rules the world. Simply amazing… price is too much though. The only disappointing thing is that they have stopped giving proper charger and also there is no earphones..,5
"Intelligent device with amazing camera ,display ,multitasking support , battery performance and RAM Management",5
Recieved the product in good condition and on time. Packing was very good. This is my first apple product 😍,5
"Camera 10/10
Display 10/10
Battery 10/10
No connectivity issue as I have faced in one plus nord 2 and Samsung a52s 5g
All-rounder phone I have never seen recommended to everyone but expensive",5
just amazing!!! Original product delivered with very good ackaging & fast delivery.,5
Thanks for Amazon my iPhone 13 😍,5
Good,5
I like this phone . Got on discount in republic sale. Battery performance is improved by apple. Picture quality is awesome.Look wise phone is really attractive and decent. Overall performance is good. However it looks big in hand and slippery.,5
Phone looks good basically the diagonal camera. camera quality awesome. I was using I Phone6 then baught this I phone13.,5
Best product,5
"Excellent phone, far better than previous versions",5
"Performance are really brilliant 🤩 , and have to say about the battery life… excellence",5
"Too good, Screen display doesn’t feel like you are working with 60hz display, it feels like 90 hz , Phone os is so smooth, camera is excellent battery backup is good. Over all excellent phone",5
Nice product .fastest delivery by Amazon and thanks to seller for genuine product .,5
Really really awesome model to be in hands..The display has a great variation comparable to the android mobiles.,5
"Just go for it no need any explorer. Best of class

Recommend to wait for any offer
Got it for 73990",5
Too good camera and battery life,5
Good display,5
Quite handy n nice in look,5
Best in offering,5
"Finally, I gift this mobile to my lovely wife.
But it's very difficult to live with one kidney!!!",5
Experiencing 1st iphone usage.. battery life is bit down otherwise worth every penny..,5
"iPhone 13 is good connectivity and sound clarity, good experience, photo quality is good,",5
Value for money,5
Don't like Battery life and Charging is very slow compare to One+ Mobiles,5
THIS IS THE BEST SMART PHONE I HAVE USED,5
Nice product and packaging,5
Fabulous. Especially 4K HDR video recording and photography.,5
Nice User Experience,5
Everything was perfect delivery was on time and product delivered perfect. All in all a good experience.,5
Its an phone that feels differently in hand as compared to other phones. Absolutely amazing camera quality. The one of the best.,5
Good Product,5
Good,5
Best in the line 😃,5
Good,5
Loved the experience of owning the iPhone 13. A massive upgrade over the older generation of iPhones,5
Superb phone,5
Sb jordar hai ❤️,5
Just love the colour and performance as we all know ;) Every thing is just top notch🤩🤩.,5
Nice product,5
